fdc_id,food_name,description,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,canonical_name,gi_value,gi_category,gi_match_type
171876,beverages,"beverages, carbonated, low calorie, cola or pepper-types, with sodium saccharin, contains caffeine",0.0,0.0,0.0,0.1,0.0,0.0,16.0,4.0,11.0,beverages,,unknown,unmatched
171877,beverages,"beverages, coffee, ready to drink, vanilla, light, milk based, sweetened",36.0,2.14,1.07,4.27,3.91,0.0,34.0,175.0,59.0,beverages,,unknown,unmatched
171878,beverages,"beverages, lemonade fruit juice drink light, fortified with vitamin e and c",21.0,0.0,0.0,5.0,5.0,0.0,5.0,10.0,1.0,beverages,,unknown,unmatched
171879,beverages,"beverages, chocolate-flavor beverage mix, powder, prepared with whole milk",85.0,3.23,3.24,11.96,0.0,0.4,58.0,172.0,88.0,beverages,,unknown,unmatched
171880,beverages,"beverages, coffee, ready to drink, milk based, sweetened",71.0,1.98,1.38,12.6,10.67,0.0,26.0,175.0,59.0,beverages,,unknown,unmatched
171881,beverages,"beverages, coffee, brewed, breakfast blend",2.0,0.3,0.0,0.17,0.0,0.0,1.0,50.0,3.0,beverages,,unknown,unmatched
171882,beverages,"beverages, clam and tomato juice, canned",48.0,0.6,0.2,10.95,3.31,0.4,362.0,89.0,11.0,beverages,,unknown,unmatched
171883,beverages,"beverages, tea, green, ready to drink, ginseng and honey, sweetened",30.0,0.0,0.18,7.16,6.87,0.0,2.0,5.0,0.0,beverages,,unknown,unmatched
171884,beverages,"beverages, the coca-cola company, minute maid, lemonade",46.0,0.0,0.0,12.08,11.67,0.0,6.0,10.0,1.0,beverages,,unknown,unmatched
171885,beverages,"beverages, tea, green, ready-to-drink, diet",4.0,0.0,0.0,0.93,0.93,0.0,6.0,5.0,0.0,beverages,,unknown,unmatched
171886,beverages,"beverages, cocoa mix, no sugar added, powder",377.0,15.49,3.0,71.93,37.65,7.5,876.0,2702.0,893.0,beverages,,unknown,unmatched
171887,cocoa mix,"cocoa mix, nestle, rich chocolate hot cocoa mix",400.0,3.0,15.0,75.0,60.0,4.0,850.0,0.0,,cocoa mix,,unknown,unmatched
171888,beverages,"beverages, tea, black, ready-to-drink, lemon, sweetened",45.0,0.0,0.22,10.8,9.49,0.0,3.0,14.0,1.0,beverages,,unknown,unmatched
171889,beverages,"beverages, coffee, brewed, prepared with tap water, decaffeinated",0.0,0.1,0.0,0.0,0.0,0.0,2.0,54.0,1.0,beverages,,unknown,unmatched
171890,beverages,"beverages, coffee, brewed, prepared with tap water",1.0,0.12,0.02,0.0,0.0,0.0,2.0,49.0,3.0,beverages,,unknown,unmatched
171891,beverages,"beverages, coffee, brewed, espresso, restaurant-prepared",9.0,0.12,0.18,1.67,0.0,0.0,14.0,115.0,7.0,beverages,,unknown,unmatched
171892,beverages,"beverages, tea, black, ready-to-drink, lemon, diet",1.0,0.0,0.0,0.22,0.0,0.0,17.0,14.0,33.0,beverages,,unknown,unmatched
171893,beverages,"beverages, coffee, instant, regular, powder",353.0,12.2,0.5,75.4,0.0,0.0,37.0,3535.0,303.0,beverages,,unknown,unmatched
171894,beverages,"beverages, coffee, instant, decaffeinated, prepared with water",2.0,0.12,0.0,0.43,0.0,0.0,4.0,36.0,3.0,beverages,,unknown,unmatched
171895,beverages,"beverages, ocean spray, cranberry-apple juice drink, bottled",56.0,0.29,0.0,13.68,13.12,0.6,19.0,14.0,1.0,beverages,,unknown,unmatched
171896,beverages,"beverages, ocean spray, diet cranberry juice",4.0,0.07,0.0,0.8,0.25,0.6,7.0,8.0,0.0,beverages,,unknown,unmatched
171897,beverages,"beverages, coffee, instant, with chicory",355.0,9.3,0.2,78.9,0.0,0.5,277.0,3395.0,271.0,beverages,,unknown,unmatched
171898,beverages,"beverages, kraft, coffee, instant, french vanilla cafe",481.0,2.5,19.2,74.6,54.3,1.4,399.0,546.0,203.0,beverages,,unknown,unmatched
171899,beverages,"beverages, ocean spray, cran raspberry juice drink",49.0,0.28,0.0,11.96,11.4,0.6,14.0,18.0,1.0,beverages,,unknown,unmatched
171900,beverages,"beverages, ocean spray, cran lemonade",45.0,0.07,0.0,11.12,10.4,0.6,52.0,10.0,1.0,beverages,,unknown,unmatched
